sector,sexo,horas_semana,ingreso_mensual,ingreso_por_hora
Informal,Mujer,40,10750,62.5
Formal,Mujer,28,14000,116.28
Informal,Hombre,24,80000,775.19
Formal,Mujer,40,10000,58.14
Informal,Mujer,20,8600,100.0
Informal,Mujer,24,4515,43.75
Formal,Hombre,24,8000,77.52
Informal,Mujer,30,6450,50.0
Informal,Mujer,17,2580,35.29
Formal,Mujer,48,9000,43.6
Informal,Hombre,20,12900,150.0
Informal,Hombre,55,13760,58.18
Informal,Hombre,7,30000,996.68
Informal,Mujer,25,5160,48.0
Informal,Hombre,50,4300,20.0
Informal,Mujer,30,2408,18.67
Informal,Mujer,18,2580,33.33
Formal,Hombre,63,10000,36.91
Formal,Hombre,56,18000,74.75
Informal,Hombre,70,6450,21.43
Formal,Mujer,40,15000,87.21
Informal,Hombre,8,2580,75.0
Informal,Hombre,66,12900,45.45
Informal,Mujer,18,3870,50.0
Formal,Mujer,45,12000,62.02
Formal,Hombre,15,30000,465.12
Formal,Hombre,48,24000,116.28
Informal,Mujer,36,4300,27.78
Informal,Mujer,42,6020,33.33
Formal,Mujer,40,30000,174.42
Formal,Hombre,40,56000,325.58
Informal,Hombre,84,12040,33.33
Informal,Hombre,12,2580,50.0
Formal,Mujer,42,8000,44.3
Informal,Mujer,24,4300,41.67
Formal,Hombre,48,9000,43.6
Informal,Mujer,27,3000,25.84
Formal,Mujer,60,14000,54.26
Informal,Hombre,42,2150,11.9
Informal,Mujer,24,23220,225.0
Informal,Hombre,84,30100,83.33
Informal,Hombre,22,8600,90.91
Informal,Hombre,47,10750,53.19
Formal,Mujer,32,28000,203.49
Formal,Mujer,35,18000,119.6
Formal,Mujer,40,44000,255.81
Informal,Hombre,70,15050,50.0
Informal,Mujer,16,2580,37.5
Formal,Mujer,54,8600,37.04
Formal,Hombre,40,22000,127.91
Informal,Hombre,16,2580,37.5
Informal,Hombre,9,3440,88.89
Informal,Mujer,60,5375,20.83
Informal,Mujer,6,1075,41.67
Formal,Hombre,60,7600,29.46
Informal,Mujer,24,1978,19.17
Informal,Hombre,21,3225,35.71
Formal,Mujer,50,20000,93.02
Formal,Hombre,40,50000,290.7
Formal,Hombre,40,50000,290.7
Formal,Mujer,30,20000,155.04
Formal,Hombre,48,8000,38.76
Formal,Mujer,48,9030,43.75
Informal,Hombre,18,12900,166.67
Formal,Mujer,40,8600,50.0
Informal,Mujer,5,3000,139.53
Informal,Mujer,15,1935,30.0
Informal,Hombre,56,24080,100.0
Informal,Mujer,35,5000,33.22
Formal,Hombre,48,10000,48.45
Informal,Mujer,8,1075,31.25
Informal,Hombre,24,5160,50.0
Informal,Mujer,40,5160,30.0
Informal,Hombre,13,2580,46.15
Informal,Mujer,48,5160,25.0
Formal,Hombre,40,15000,87.21
Formal,Hombre,52,9176,41.04
Informal,Mujer,24,23220,225.0
Formal,Mujer,48,11200,54.26
Informal,Mujer,24,2580,25.0
Informal,Mujer,40,8000,46.51
Formal,Hombre,20,8000,93.02
Informal,Hombre,62,4300,16.13
Formal,Hombre,40,16000,93.02
Informal,Hombre,48,12900,62.5
Informal,Hombre,55,10750,45.45
Informal,Hombre,40,9890,57.5
Informal,Hombre,40,25800,150.0
Informal,Hombre,20,1200,13.95
Informal,Hombre,56,25800,107.14
Formal,Mujer,48,8000,38.76
Informal,Mujer,42,6000,33.22
Formal,Hombre,46,8600,43.48
Informal,Hombre,42,9460,52.38
Formal,Mujer,33,24000,169.13
Informal,Mujer,24,8600,83.33
Informal,Hombre,40,17000,98.84
Formal,Mujer,48,10320,50.0
Formal,Mujer,45,12900,66.67
Informal,Mujer,39,2150,12.82
Informal,Mujer,24,6450,62.5
Formal,Hombre,35,8000,53.16
Informal,Mujer,70,15050,50.0
Informal,Hombre,30,5160,40.0
Informal,Mujer,45,6450,33.33
Informal,Hombre,49,4000,18.98
Formal,Mujer,40,7000,40.7
Informal,Mujer,1,3440,800.0
Formal,Mujer,48,8000,38.76
Informal,Hombre,70,15000,49.83
Informal,Mujer,17,6020,82.35
Formal,Mujer,24,16340,158.33
Informal,Hombre,47,10750,53.19
Formal,Hombre,40,5160,30.0
Informal,Hombre,20,1720,20.0
Informal,Mujer,42,5160,28.57
Formal,Mujer,48,20210,97.92
Informal,Hombre,72,7740,25.0
Informal,Mujer,45,10750,55.56
Informal,Hombre,8,2580,75.0
Formal,Mujer,40,10000,58.14
Formal,Mujer,45,30000,155.04
Informal,Hombre,55,15050,63.64
Informal,Hombre,56,9030,37.5
Formal,Hombre,40,44000,255.81
Formal,Hombre,45,11610,60.0
Informal,Hombre,46,11000,55.61
Informal,Mujer,60,9890,38.33
Informal,Mujer,48,8600,41.67
Informal,Hombre,30,6450,50.0
Formal,Hombre,50,11000,51.16
Informal,Mujer,70,2580,8.57
Informal,Hombre,24,5160,50.0
Formal,Mujer,40,40000,232.56
Formal,Hombre,40,16000,93.02
Informal,Mujer,72,7740,25.0
Formal,Hombre,40,12400,72.09
Formal,Hombre,54,9000,38.76
Formal,Hombre,55,24000,101.48
Informal,Mujer,24,3225,31.25
Formal,Hombre,48,8600,41.67
Informal,Hombre,54,16340,70.37
Formal,Hombre,40,7600,44.19
Informal,Hombre,40,8600,50.0
Formal,Hombre,40,18000,104.65
Formal,Hombre,50,6000,27.91
Formal,Hombre,31,32000,240.06
Formal,Mujer,28,14000,116.28
Informal,Hombre,44,3440,18.18
Informal,Mujer,36,40004,258.42
Formal,Mujer,47,9460,46.81
Formal,Mujer,45,16000,82.69
Informal,Hombre,40,6450,37.5
Formal,Hombre,50,9890,46.0
Formal,Hombre,40,14000,81.4
Formal,Hombre,54,10600,45.65
Formal,Mujer,50,12000,55.81
Formal,Mujer,48,8600,41.67
Informal,Mujer,40,8600,50.0
Informal,Mujer,40,12900,75.0
Informal,Mujer,48,7740,37.5
Formal,Mujer,20,18000,209.3
Informal,Hombre,60,12900,50.0
Informal,Hombre,63,9030,33.33
Formal,Mujer,46,8600,43.48
Informal,Mujer,40,14000,81.4
Formal,Mujer,40,12857,74.75
Informal,Mujer,7,17200,571.43
Informal,Hombre,40,8000,46.51
Informal,Mujer,48,6450,31.25
Informal,Mujer,36,8000,51.68
Informal,Mujer,40,10750,62.5
Informal,Mujer,20,3200,37.21
Formal,Mujer,12,5160,100.0
Formal,Mujer,30,6000,46.51
Informal,Mujer,13,1290,23.08
Formal,Mujer,50,6000,27.91
